CLOCK,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,output
10-12-2022 06:30,49.5213,39.18235,35.92655,36.67485,63.9086,2.6382,142.4139,387.2431,920,2.13995,2.64885,3.7435,3.7455,7.6937,44.9898
10-12-2022 06:50,49.5576,39.0714,35.7937,36.81315,62.28685,2.7905,146.99295,402.3219,920.05,2.15965,2.65525,3.7375,3.7035,7.69365,45.0909
10-12-2022 07:00,49.16135,38.8161,35.12745,36.48725,64.202,2.93795,141.47005,393.71565,920.05,2.15995,2.43785,3.679,3.693,7.69395,45.17905
10-12-2022 07:10,49.1699,38.6873,34.9915,36.5043,61.5465,2.91875,140.64255,391.9806,920,2.1595,2.4851,3.6765,3.702,7.69375,44.5406
10-12-2022 07:20,48.7251,38.5798,34.3912,36.31865,63.8536,2.83325,135.81105,371.30875,920,2.15895,2.5091,3.6795,3.6825,7.69365,44.96065
10-12-2022 07:30,48.1934,38.176,34.10515,36.1493,63.9725,2.8475,137.6977,383.0511,920,2.16025,2.4893,3.621,3.6215,7.69375,44.77465
10-12-2022 07:50,48.4485,38.35285,34.0054,36.31505,64.13535,3.0336,135.07,366.55295,920.05,2.15975,2.48995,3.6305,3.6285,7.69365,44.44515
10-12-2022 08:00,48.2333,38.3113,33.9553,36.2293,63.72225,3.124,136.53485,378.9364,920.05,2.1599,2.47785,3.683,3.69,7.69385,44.71875
10-12-2022 08:10,48.15045,38.0815,33.71925,36.10555,63.87355,3.162,136.3701,378.05125,919.95,2.1591,2.493,3.7235,3.724,7.69375,44.541
10-12-2022 08:20,48.409,38.2186,33.4124,35.99295,64.4855,3.24275,131.0216,368.31315,919.95,2.15725,2.5139,3.8365,3.7995,7.6937,44.49145
10-12-2022 08:40,47.6855,37.8041,32.86285,35.40555,61.0388,3.3619,129.64585,361.7114,919.9,2.1562,2.58515,1.8385,5.837,7.69355,46.02365
10-12-2022 09:00,46.4155,37.0215,32.0609,34.5813,62.25225,3.638,128.2779,358.09105,919.9,2.03945,2.7326,2.0945,4.913,7.69355,46.16045
10-12-2022 09:10,47.0931,37.3822,32.1665,34.65165,64.29555,3.762,125.686,353.7491,920,1.98065,2.66955,2.0495,4.793,7.69355,45.3259
10-12-2022 09:20,46.92305,37.40055,32.06955,34.5574,61.20185,3.82895,125.07755,350.1395,920,1.81955,2.1712,1.8435,4.277,7.69355,45.458
10-12-2022 09:30,47.0766,37.52185,32.34875,34.66435,62.26265,3.90975,132.6243,366.1632,919.9,1.9841,2.3127,3.491,3.6455,7.6935,45.52575
